,title,company_name,location,stipend,intern_type
7695,Business Development (Sales),                            Decathlon Sports India Private Limited                        ,Mumbai," 25,000 /month",Internship
7696,Business Development (Sales),                            Decathlon                        ,Mumbai," 25,000 /month",Internship
7697,Graphic Design,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
7698,Project Planning (TribeVibe),                            BookMyShow                        ,Mumbai," 7,500 /month",Internship
7699,Market Research,                            Hindustan Unilever Limited                        ,Mumbai," 20,000 /month",Internship
7700,Marketing,                            Hector Beverages Private Limited                        ,Bangalore," 5,000 /month",Internship
7701,Marketing,                            Dabur India Limited                        ,Mumbai," 2,000-3,000 /week",Internship
7702,Human Resources (HR),                            Paisabazaar                        ,Gurgaon," 20,000-25,000 /month",Internship
7703,Marketing,                            Decathlon                        ,Chennai," 10,000 /month",Internship
7704,Digital Marketing,                            NoBroker Technologies Solutions Private Limited                        ,Bangalore," 10,000 /month",Internship
7705,Content Writing,                            Acko General Insurance                        ,Bangalore," 10,000 /month",Internship
7706,Digital Marketing,                            UpGrad (UpGrad Education Private Limited)                        ,Mumbai," 25,000 /month",Internship
7707,Operations,                            Thomas Cook India Limited                        ,Mumbai," 3,000 /month",Internship
7708,Human Resources (HR),                            Justdial Limited                        ,Chennai," 7,000 /month",Internship
7709,Business Development (Sales),                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
7710,Data Analytics,                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
7711,Content Writing,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
7712,Business Development (Trekking Sport),                            Decathlon Sports India                        ,Pune," 5,000 /month",Internship
7713,Sports Retail Management,                            Decathlon Sports India                        ,Siliguri," 9,000 /month",Internship with job offer
7714,Search Engine Optimization (SEO),                            MAYAPURI GROUP                        ,Delhi," 5,000 /month",Internship
7715,Marketing,                            BYJU'S The Learning App                        ,Chennai," 10,000 /month",Internship
7716,Human Resources (HR),                            American India Foundation Trust                        ,Gurgaon," 10,000 /month",Internship
7717,Business Development (Sales),                            BYJU'S The Learning App                        ,Coimbatore," 10,000 /month",Internship
7718,Policy Research,                            Federation of India Chambers of Commerce and Industries                        ,Chandigarh,Unpaid,Internship
7719,Graphic Design,                            Dr. A.P.J. Abdul Kalam Centre                        ,Noida," 8,000-10,000 /month",Internship
7720,Fundraising,                            Tare Zameen Foundation                        ,Work From Home," 1,000 /month +  Incentives",Internship
7721,Fundraising,                            Childo Education Research And Development Foundation                        ,Work From Home," 1,000 lump sum +  Incentives",Internship
7722,Fundraising,                            Youth Empowerment Foundation                        ,Work From Home,Unpaid,Internship
